标题,链接,详细地址,房屋面积,朝向,房屋格式,楼层,价格
"
          整租·东亭花园 1室1厅 南        ",/zufang/WH2336686586747691008.html,武昌-东湖东亭-东亭花园,20㎡,南,1室1厅1卫,高楼层（7层）,600 元/月
"
          合租·余华岭佳园 3居室 南卧        ",/zufang/WH2336769682587262976.html,江岸-塔子湖-余华岭佳园,12㎡,南,3室1厅2卫,高楼层（31层）,600 元/月
"
          整租·珩生领袖城 1室0厅 南        ",/zufang/WH2336727431475904512.html,黄陂-盘龙城-珩生领袖城,10㎡,南,1室0厅0卫,低楼层（18层）,650 元/月
"
          合租·现代森林小镇 4居室 北卧        ",/zufang/WH2337206385542176768.html,东湖高新-金融港-现代森林小镇,11㎡,北,4室1厅1卫,低楼层（11层）,850 元/月
"
          整租·梅南山居 1室1厅 南        ",/zufang/WH2336959710168612864.html,江夏-庙山-梅南山居,30㎡,南,1室1厅1卫,中楼层（5层）,700 元/月
"
          合租·三角花园王家湾小区 3居室 南卧        ",/zufang/WH2336597789003218944.html,洪山-沙湖-三角花园王家湾小区,20㎡,南,3室1厅2卫,高楼层（29层）,860 元/月
"
          整租·玫瑰新苑 3室2厅 南        ",/zufang/WH2336714034717392896.html,汉阳-七里庙-玫瑰新苑,120㎡,南,3室2厅2卫,中楼层（6层）,850 元/月
"
          整租·星海虹城二期 1室1厅 南/北        ",/zufang/WH2337004316676079616.html,武昌-楚河汉街-星海虹城二期,24㎡,南,/,/高楼层,1000 元/月
"
          整租·金谷明珠园 1室0厅 南        ",/zufang/WH2337358178779938816.html,东湖高新-光谷东-金谷明珠园,20㎡,南,1室0厅0卫,高楼层（6层）,600 元/月
"
          整租·汉阳人信汇四期天誉 1室0厅 南        ",/zufang/WH2337640268691677184.html,汉阳-王家湾-汉阳人信汇四期天誉,20㎡,南,1室0厅1卫,中楼层（45层）,1150 元/月
"
          整租·汉口秀园 1室0厅 南/北        ",/zufang/WH2336915434173382656.html,江汉-塔子湖-汉口秀园,15㎡,南,/,/中楼层,750 元/月
"
          合租·地铁时代常青城 3居室 南卧        ",/zufang/WH2336711475294912512.html,东西湖-将军路-地铁时代常青城,16㎡,南,3室1厅1卫,高楼层（11层）,600 元/月
"
          整租·长投景城汉口年华 2室1厅 复式 南        ",/zufang/WH2337655849457565696.html,江岸-百步亭-长投景城汉口年华,38㎡,南,2室1厅1卫,高楼层（17层）,1350 元/月
"
          整租·金色港湾MIMI空间 1室1厅 南        ",/zufang/WH2336833165760937984.html,沌口开发区-沌口-金色港湾MIMI空间,46㎡,南,1室1厅1卫,低楼层（21层）,1450 元/月
"
          整租·枫树庭院 1室1厅 南        ",/zufang/WH2336892183518650368.html,蔡甸-后官湖-枫树庭院,37㎡,南,1室1厅1卫,中楼层（6层）,1200 元/月
"
          整租·武大工学部 1室0厅 东南        ",/zufang/WH2337586263680892928.html,武昌-街道口-武大工学部,20㎡,东南,1室0厅1卫,高楼层（2层）,1000 元/月
"
          整租·枫树庭院 1室1厅 南        ",/zufang/WH2336899318113910784.html,蔡甸-后官湖-枫树庭院,37㎡,南,1室1厅1卫,高楼层（6层）,1100 元/月
"
          整租·武泰闸花园小区 1室1厅 南        ",/zufang/WH2336674684680282112.html,洪山-白沙洲-武泰闸花园小区,115㎡,南,1室1厅1卫,低楼层（7层）,800 元/月
"
          整租·武汉职业技术学院西区 1室0厅 南        ",/zufang/WH2336679038753439744.html,东湖高新-民族大道-武汉职业技术学院西区,15㎡,南,1室0厅0卫,高楼层（6层）,1000 元/月
"
          整租·航务一院 2室1厅 南        ",/zufang/WH2337585209811410944.html,江岸-二七-航务一院,76㎡,南,2室1厅1卫,高楼层（7层）,1200 元/月
"
          整租·黄金口岸 2室1厅 南        ",/zufang/WH2336687292808167424.html,汉阳-王家湾-黄金口岸,69㎡,南,2室1厅1卫,低楼层（26层）,800 元/月
"
          合租·中力名居 3居室 南卧        ",/zufang/WH2336600115633979392.html,洪山-徐东-中力名居,19㎡,南,3室1厅2卫,高楼层（11层）,630 元/月
"
          整租·亚洲证券大厦 1室0厅 东南        ",/zufang/WH2335209846690807808.html,江岸-大智路-亚洲证券大厦,15㎡,东南,1室0厅1卫,低楼层（25层）,800 元/月
"
          合租·陶馨阁 4居室 南卧        ",/zufang/WH2336857745472897024.html,汉阳-王家湾-陶馨阁,10㎡,南,4室1厅1卫,中楼层（32层）,600 元/月
"
          整租·金色港湾MIMI空间 1室1厅 东南        ",/zufang/WH2335403446175539200.html,沌口开发区-沌口-金色港湾MIMI空间,45㎡,东南,1室1厅1卫,中楼层（21层）,1250 元/月
"
          合租·领秀城 5居室 东北卧        ",/zufang/WH2336895135293644800.html,洪山-卓刀泉-领秀城,6㎡,东北,5室0厅2卫,高楼层（32层）,760 元/月
"
          整租·公安小区 1室0厅 南        ",/zufang/WH2335464100131241984.html,硚口-古田-公安小区,15㎡,南,1室0厅0卫,高楼层（7层）,500 元/月
"
          合租·鹏程花园 3居室 南卧        ",/zufang/WH2336597203528712192.html,洪山-徐东-鹏程花园,19㎡,南,3室1厅2卫,中楼层（6层）,790 元/月
"
          合租·风度柏林三期 3居室 南卧        ",/zufang/WH2336720661231173632.html,东湖高新-光谷广场-风度柏林三期,9㎡,南,3室1厅1卫,低楼层（33层）,750 元/月
"
          合租·英特小区 3居室 南卧        ",/zufang/WH2336599285766307840.html,洪山-沙湖-英特小区,19㎡,南,3室1厅2卫,中楼层（7层）,630 元/月
